Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,fisheye,brightnessPlus20,0.418947368,0.188421053,0.458947368,0.415789474,0.366315789,0.133684211,0.389473684,0.371578947,0.329473684,0.113684211,0.349473684,0.329473684,0.051578947,0.038947368,0.046315789,4815.068406,1443.180869,6258.249275,4887.253396,1,0,1,1,1,0
,fisheye,brightnessMinus20,0.418947368,0.306315789,0.490526316,0.472631579,0.366315789,0.266315789,0.42,0.445263158,0.329473684,0.238947368,0.385263158,0.403157895,0.077894737,0.069473684,0.073684211,4951.514378,1461.92558,6413.439958,4958.520479,1,1,0,1,0,1
,fisheye,contrastUp,0.418947368,0.452631579,0.574736842,0.548421053,0.366315789,0.443157895,0.524210526,0.537894737,0.329473684,0.401052632,0.484210526,0.496842105,0.076842105,0.067368421,0.078947368,4933.480866,1466.005597,6399.486463,4497.812064,1,1,0,1,0,1
,fisheye,contrastDown,0.418947368,0.303157895,0.506315789,0.452631579,0.366315789,0.262105263,0.431578947,0.422105263,0.329473684,0.217894737,0.391578947,0.38,0.063157895,0.052631579,0.06,4816.774522,1442.720547,6259.495069,4807.591502,1,1,1,1,1,1
,fisheye,blurImage,0.418947368,0.614736842,0.672631579,0.695789474,0.366315789,0.635789474,0.658947368,0.789473684,0.329473684,0.565263158,0.594736842,0.644210526,0.143157895,0.152631579,0.128421053,4891.307104,1465.986189,6357.293293,4936.004065,0,1,0,1,0,1
cocofood,flipLeftRight,flipUpDown,0.473524962,0.829046899,0.871406959,0.832072617,0.411497731,0.833585477,0.854765507,0.829046899,0.314674735,0.767019667,0.788199697,0.768532526,0.034795764,0.030257186,0.045385779,792.6914232,783.8625173,1576.553941,786.1264574,1,1,1,0,1,1
,flipLeftRight,rotateMinus5deg,0.473524962,0.617246596,0.724659607,0.612708018,0.411497731,0.582450832,0.65204236,0.596066566,0.314674735,0.484114977,0.56429652,0.493192133,0.08623298,0.066565809,0.095310136,787.5341178,787.6077032,1575.141821,787.7381961,1,0,1,1,1,1
,flipLeftRight,rotatePlus5deg,0.473524962,0.615733737,0.726172466,0.641452345,0.411497731,0.570347958,0.645990923,0.593040847,0.314674735,0.479576399,0.556732224,0.502269289,0.081694402,0.06505295,0.08774584,786.1615367,785.7158149,1571.877352,784.4632618,1,1,1,1,1,1
,flipLeftRight,shearMinus20deg,0.473524962,0.571860817,0.698940998,0.6096823,0.411497731,0.514372163,0.599092284,0.561270802,0.314674735,0.416036309,0.502269289,0.482602118,0.089258699,0.072617247,0.104387292,784.085049,819.2771276,1603.362177,819.8518928,1,1,1,1,1,1
,flipLeftRight,shearPlus20deg,0.473524962,0.555219365,0.689863843,0.594553707,0.411497731,0.514372163,0.593040847,0.547655068,0.314674735,0.408472012,0.509833585,0.431164902,0.078668684,0.060514372,0.066565809,784.6560773,819.4018565,1604.057934,819.6849054,1,1,1,1,1,1
,flipUpDown,rotateMinus5deg,0.829046899,0.617246596,0.889561271,0.854765507,0.833585477,0.582450832,0.868381241,0.875945537,0.767019667,0.484114977,0.810892587,0.810892587,0.039334342,0.034795764,0.049924357,783.4908823,783.4852196,1566.976102,782.5761274,1,1,0,1,0,1
,flipUpDown,rotatePlus5deg,0.829046899,0.615733737,0.885022693,0.84720121,0.833585477,0.570347958,0.866868381,0.880484115,0.767019667,0.479576399,0.810892587,0.809379728,0.042360061,0.045385779,0.052950076,782.3135532,784.3141533,1566.627707,786.1566905,1,1,0,1,1,1
,flipUpDown,shearMinus20deg,0.829046899,0.571860817,0.886535552,0.833585477,0.833585477,0.514372163,0.856278366,0.84871407,0.767019667,0.416036309,0.801815431,0.780635401,0.034795764,0.031770045,0.042360061,783.6052091,819.507824,1603.113033,820.7486878,1,1,1,1,1,1
,flipUpDown,shearPlus20deg,0.829046899,0.555219365,0.874432678,0.832072617,0.833585477,0.514372163,0.857791225,0.851739788,0.767019667,0.408472012,0.791225416,0.779122542,0.034795764,0.034795764,0.042360061,784.4092275,819.3091026,1603.71833,820.390992,1,1,1,1,1,1
,rotateMinus5deg,shearMinus20degrees,0.617246596,0.571860817,0.757942511,0.656580938,0.582450832,0.514372163,0.665658094,0.665658094,0.484114977,0.416036309,0.58698941,0.570347958,0.075642965,0.068078669,0.08774584,785.463761,820.6009374,1606.064698,821.5343071,1,1,0,1,1,1
,rotateMinus5deg,shearPlus20degrees,0.617246596,0.555219365,0.751891074,0.67322239,0.582450832,0.514372163,0.667170953,0.650529501,0.484114977,0.408472012,0.593040847,0.568835098,0.062027231,0.062027231,0.077155825,784.7466872,819.4473719,1604.194059,835.842906,1,1,1,1,1,1
,flipLeftRight,blurImage,0.473524962,0.822995461,0.868381241,0.821482602,0.411497731,0.845688351,0.859304085,0.844175492,0.314674735,0.78214826,0.797276853,0.776096823,0.036308623,0.025718608,0.04387292,781.877476,776.0938814,1557.971357,774.2220498,1,0,1,0,1,0
,flipUpDown,blurImage,0.829046899,0.822995461,0.91376702,0.903177005,0.833585477,0.845688351,0.91376702,0.921331316,0.767019667,0.78214826,0.866868381,0.877458396,0.031770045,0.033282905,0.040847201,773.3317963,773.5322157,1546.864012,773.6647137,1,1,0,1,0,1
,rotateMinus5deg,blurImage,0.617246596,0.822995461,0.881996974,0.835098336,0.582450832,0.845688351,0.868381241,0.82602118,0.484114977,0.78214826,0.815431165,0.771558245,0.037821483,0.018154312,0.027231467,773.9648345,773.7663052,1547.73114,781.3156003,1,1,1,0,1,0
,rotatePlus5deg,shearMinus20degrees,0.615733737,0.571860817,0.757942511,0.627836611,0.570347958,0.514372163,0.665658094,0.639939486,0.479576399,0.416036309,0.580937973,0.527987897,0.062027231,0.069591528,0.083207262,771.3787199,806.6030414,1577.981761,811.7316527,1,1,1,1,1,1
,rotatePlus5deg,shearPlus20degrees,0.615733737,0.555219365,0.741301059,0.676248109,0.570347958,0.514372163,0.653555219,0.659606657,0.479576399,0.408472012,0.571860817,0.583963691,0.066565809,0.059001513,0.08774584,771.5516789,805.3199119,1576.871591,813.2483953,1,1,0,1,0,1
,rotatePlus5deg,blurImage,0.615733737,0.822995461,0.880484115,0.812405446,0.570347958,0.845688351,0.865355522,0.827534039,0.479576399,0.78214826,0.806354009,0.762481089,0.025718608,0.015128593,0.027231467,771.9490421,773.1532701,1545.102312,775.2002783,1,0,1,0,1,0
,shearMinus20degrees,blurImage,0.571860817,0.822995461,0.892586989,0.836611195,0.514372163,0.845688351,0.868381241,0.851739788,0.416036309,0.78214826,0.809379728,0.794251135,0.031770045,0.033282905,0.04387292,806.2364267,774.2162499,1580.452677,809.9358338,1,1,1,1,1,1
,shearPlus20degrees,blurImage,0.555219365,0.822995461,0.8698941,0.833585477,0.514372163,0.845688351,0.863842663,0.856278366,0.408472012,0.78214826,0.801815431,0.791225416,0.039334342,0.030257186,0.046898638,808.3697837,776.736205,1585.105989,812.0241186,1,1,1,1,1,1
,flipLeftRight,brightnessPlus20,0.473524962,0.403933434,0.624810893,0.515885023,0.411497731,0.305597579,0.514372163,0.449319213,0.314674735,0.246596067,0.420574887,0.338880484,0.068078669,0.042360061,0.051437216,1025.102425,1027.102941,2052.205366,1017.961105,1,1,1,1,1,1
,flipUpDown,brightnessPlus20,0.829046899,0.403933434,0.853252648,0.813918306,0.833585477,0.305597579,0.84720121,0.842662632,0.767019667,0.246596067,0.78214826,0.759455371,0.027231467,0.024205749,0.028744327,1011.763051,999.8743081,2011.637359,1003.407565,1,0,1,1,1,0
,rotatePlus5deg,brightnessPlus20,0.615733737,0.403933434,0.714069592,0.611195159,0.570347958,0.305597579,0.62934947,0.590015129,0.479576399,0.246596067,0.540090772,0.488653555,0.048411498,0.045385779,0.051437216,979.5156314,999.0614963,1978.577128,997.9181583,1,0,1,1,1,1
,shearPlus20deg,brightnessPlus20,0.555219365,0.403933434,0.653555219,0.594553707,0.514372163,0.305597579,0.571860817,0.553706505,0.408472012,0.246596067,0.484114977,0.461422088,0.06505295,0.051437216,0.066565809,1044.347275,1004.453032,2048.800307,1054.811761,1,1,1,1,1,1
,flipLeftRight,brightnessMinus20,0.473524962,0.599092284,0.714069592,0.614220877,0.411497731,0.58698941,0.664145234,0.62934947,0.314674735,0.508320726,0.576399395,0.526475038,0.066565809,0.057488654,0.074130106,999.5518486,1000.332603,1999.884452,1009.389407,1,1,1,1,1,1
,flipUpDown,brightnessMinus20,0.829046899,0.599092284,0.885022693,0.844175492,0.833585477,0.58698941,0.8698941,0.889561271,0.767019667,0.508320726,0.819969743,0.821482602,0.034795764,0.045385779,0.048411498,1011.214566,1004.459325,2015.673891,1000.715149,1,1,0,1,0,1
,rotatePlus5deg,brightnessMinus20,0.615733737,0.599092284,0.770045386,0.680786687,0.570347958,0.58698941,0.715582451,0.704992436,0.479576399,0.508320726,0.641452345,0.614220877,0.052950076,0.049924357,0.062027231,1005.95956,999.5117647,2005.471325,1009.423543,1,1,1,1,1,1
,shearPlus20deg,brightnessMinus20,0.555219365,0.599092284,0.742813918,0.706505295,0.514372163,0.58698941,0.685325265,0.697428139,0.408472012,0.508320726,0.617246596,0.635400908,0.06505295,0.060514372,0.074130106,1055.902113,997.8003418,2053.702454,1049.610601,1,1,0,1,0,1
,flipLeftRight,fisheye,0.473524962,0.715582451,0.786686838,0.723146747,0.411497731,0.69591528,0.745839637,0.691376702,0.314674735,0.612708018,0.658093797,0.614220877,0.052950076,0.027231467,0.049924357,1006.554993,3493.922727,4500.47772,3472.484627,1,1,1,0,1,1
,flipUpDown,fisheye,0.829046899,0.715582451,0.904689864,0.863842663,0.833585477,0.69591528,0.880484115,0.872919818,0.767019667,0.612708018,0.822995461,0.818456884,0.034795764,0.034795764,0.045385779,998.4948991,3423.077081,4421.57198,3243.628218,1,1,1,1,1,1
,rotatePlus5deg,fisheye,0.615733737,0.715582451,0.822995461,0.735249622,0.570347958,0.69591528,0.762481089,0.756429652,0.479576399,0.612708018,0.686838124,0.667170953,0.04387292,0.051437216,0.066565809,1008.7139,3445.563173,4454.277073,3978.28708,1,1,1,1,1,1
,shearPlus20deg,fisheye,0.555219365,0.715582451,0.78366112,0.744326778,0.514372163,0.69591528,0.7397882,0.733736762,0.408472012,0.612708018,0.655068079,0.650529501,0.069591528,0.049924357,0.074130106,1062.321101,3547.505333,4609.826434,4031.825341,1,1,1,1,1,1
,flipLeftRight,contrastUp,0.473524962,0.718608169,0.788199697,0.711043873,0.411497731,0.724659607,0.757942511,0.729198185,0.314674735,0.647503782,0.685325265,0.635400908,0.059001513,0.033282905,0.048411498,1002.564012,981.6508007,1984.214812,964.6171368,1,0,1,1,1,0
,flipUpDown,contrastUp,0.829046899,0.718608169,0.900151286,0.866868381,0.833585477,0.724659607,0.888048411,0.910741301,0.767019667,0.647503782,0.833585477,0.845688351,0.036308623,0.04387292,0.052950076,959.0701038,973.7048924,1932.774996,978.3749884,1,1,0,1,0,1
,rotatePlus5deg,contrastUp,0.615733737,0.718608169,0.832072617,0.788199697,0.570347958,0.724659607,0.776096823,0.80484115,0.479576399,0.647503782,0.720121029,0.7397882,0.052950076,0.060514372,0.071104387,978.5587323,975.9862387,1954.544971,983.0699889,1,1,0,1,0,1
,shearPlus20deg,contrastUp,0.555219365,0.718608169,0.80484115,0.750378215,0.514372163,0.724659607,0.767019667,0.765506808,0.408472012,0.647503782,0.69591528,0.686838124,0.054462935,0.052950076,0.063540091,1029.242528,985.1002622,2014.34279,1034.466151,1,1,1,1,1,1
,flipLeftRight,contrastDown,0.473524962,0.538577912,0.69591528,0.571860817,0.411497731,0.503782148,0.623298033,0.570347958,0.314674735,0.397881997,0.512859304,0.446293495,0.080181543,0.066565809,0.075642965,984.2618366,981.9456249,1966.207462,985.8448594,1,1,1,1,1,1
,flipUpDown,contrastDown,0.829046899,0.538577912,0.878971256,0.854765507,0.833585477,0.503782148,0.8698941,0.880484115,0.767019667,0.397881997,0.809379728,0.818456884,0.042360061,0.039334342,0.054462935,982.8758664,981.0517457,1963.927612,982.8293363,1,1,0,1,0,1
,rotatePlus5deg,contrastDown,0.615733737,0.538577912,0.750378215,0.703479576,0.570347958,0.503782148,0.697428139,0.676248109,0.479576399,0.397881997,0.591527988,0.597579425,0.078668684,0.054462935,0.095310136,986.3979454,987.2986742,1973.69662,985.1113642,1,1,1,1,0,1
,shearPlus20deg,contrastDown,0.555219365,0.538577912,0.706505295,0.639939486,0.514372163,0.503782148,0.639939486,0.627836611,0.408472012,0.397881997,0.546142209,0.529500756,0.078668684,0.069591528,0.083207262,1036.360727,982.4924138,2018.853141,1036.162784,1,1,1,1,1,1
,fisheye,brightnessPlus20,0.715582451,0.403933434,0.774583964,0.69591528,0.69591528,0.305597579,0.727685325,0.686838124,0.612708018,0.246596067,0.645990923,0.599092284,0.060514372,0.033282905,0.059001513,3161.46616,981.6085,4143.07466,3410.627155,1,0,1,0,1,0
,fisheye,brightnessMinus20,0.715582451,0.599092284,0.822995461,0.78214826,0.69591528,0.58698941,0.770045386,0.771558245,0.612708018,0.508320726,0.706505295,0.714069592,0.062027231,0.051437216,0.074130106,3394.921083,980.0597896,4374.980872,3453.541511,1,1,0,1,0,1
,fisheye,contrastUp,0.715582451,0.718608169,0.857791225,0.813918306,0.69591528,0.724659607,0.819969743,0.827534039,0.612708018,0.647503782,0.762481089,0.757942511,0.051437216,0.042360061,0.057488654,3395.753779,989.4139642,4385.167743,3285.380698,1,1,0,1,1,1
,fisheye,contrastDown,0.715582451,0.538577912,0.80332829,0.751891074,0.69591528,0.503782148,0.757942511,0.748865356,0.612708018,0.397881997,0.677760968,0.680786687,0.083207262,0.052950076,0.092284418,3276.494247,977.893924,4254.388171,3395.936666,1,1,1,1,0,1
