Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg. MRx U MRy effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg. MRx U MRy effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. MRx U MRy effectiveness of composite MR against composable MRs
,flipUpDown,brightnessMinus20,0.260940032,0.081037277,0.275526742,0.260940032,0.944894652,0.756888169,0.964343598,0.943273906,0.231766613,0.042139384,0.238249595,0.230145867,0.004862237,0.001620746,0.001620746,100.6950008,98.3441974,199.0391982,101.1688292,1,0,1,0,1,0
,rotatePlus5deg,brightnessMinus20,0.215559157,0.081037277,0.249594814,0.223662885,0.779578606,0.756888169,0.862236629,0.777957861,0.110210697,0.042139384,0.13452188,0.111831442,0.016207455,0.006482982,0.008103728,100.0593773,114.9986316,215.0580089,105.4488446,1,1,1,0,1,1
,shearPlus20deg,brightnessMinus20,0.215559157,0.081037277,0.238249595,0.205834684,0.852512156,0.756888169,0.89465154,0.846029173,0.157212318,0.042139384,0.168557536,0.147487844,0.004862237,0.003241491,0.003241491,253.5263796,108.5565885,362.0829681,233.6945905,1,0,1,0,1,0
,flipLeftRight,fisheye,0.19286872,0.410048622,0.473257699,0.413290113,0.808752026,0.6726094,0.914100486,0.661264182,0.111831442,0.152350081,0.189627229,0.153970827,0.069692058,0.012965964,0.012965964,120.9536929,5523.759188,5644.712881,5482.531808,1,1,1,0,1,1
,flipUpDown,fisheye,0.260940032,0.410048622,0.499189627,0.376012966,0.944894652,0.6726094,0.974068071,0.813614263,0.231766613,0.152350081,0.243111831,0.223662885,0.045380875,0.004862237,0.009724473,109.8750121,5475.874393,5585.749405,5582.108581,1,0,1,0,1,0
,rotatePlus5deg,fisheye,0.215559157,0.410048622,0.478119935,0.478119935,0.779578606,0.6726094,0.886547812,0.604538088,0.110210697,0.152350081,0.189627229,0.152350081,0.10534846,0.017828201,0.012965964,111.0088585,5608.973016,5719.981874,8071.280956,0,1,1,0,1,0
,shearPlus20deg,fisheye,0.215559157,0.410048622,0.471636953,0.408427877,0.852512156,0.6726094,0.918962723,0.70178282,0.157212318,0.152350081,0.205834684,0.175040519,0.056726094,0.022690438,0.019448947,254.2381606,6243.071253,6497.309413,8090.102357,1,0,1,0,1,1
,flipLeftRight,contrastUp,0.19286872,0.212317666,0.286871961,0.226904376,0.808752026,0.883306321,0.928687196,0.897893031,0.111831442,0.175040519,0.204213938,0.189627229,0.019448947,0.01458671,0.01458671,122.7678304,116.6042308,239.3720612,117.9808156,1,1,1,1,1,1
,flipUpDown,contrastUp,0.260940032,0.212317666,0.296596434,0.259319287,0.944894652,0.883306321,0.975688817,0.964343598,0.231766613,0.175040519,0.249594814,0.243111831,0.006482982,0.006482982,0.008103728,116.8255178,108.0182251,224.8437429,106.7885381,1,0,1,1,1,1
,rotatePlus5deg,contrastUp,0.215559157,0.212317666,0.311183144,0.249594814,0.779578606,0.883306321,0.931928687,0.863857374,0.110210697,0.175040519,0.210696921,0.175040519,0.030794165,0.011345219,0.01458671,108.6754278,106.8998453,215.5752731,108.3465444,1,1,1,0,1,0
,shearPlus20deg,contrastUp,0.215559157,0.212317666,0.286871961,0.241491086,0.852512156,0.883306321,0.944894652,0.912479741,0.157212318,0.175040519,0.222042139,0.205834684,0.016207455,0.01458671,0.012965964,216.7086861,108.612233,325.3209191,219.7819408,1,1,1,1,1,1
,flipLeftRight,contrastDown,0.19286872,0.038897893,0.209076175,0.184764992,0.808752026,0.729335494,0.855753647,0.800648298,0.111831442,0.01458671,0.11993517,0.102106969,0.011345219,0.001620746,0.003241491,109.1630226,106.1831322,215.3461548,109.3241423,1,0,1,0,1,0
