Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,flipUpDown,shearPlus20deg,0.832080201,0.483709273,0.862155388,0.842105263,0.889724311,0.486215539,0.894736842,0.897243108,0.812030075,0.393483709,0.817042607,0.829573935,0.032581454,0.022556391,0.035087719,412.4821088,473.7321632,886.214272,475.6962636,1,1,0,1,0,1
,rotateMinus5deg,shearMinus20degrees,0.408521303,0.473684211,0.573934837,0.533834586,0.378446115,0.461152882,0.526315789,0.556390977,0.30075188,0.395989975,0.45112782,0.471177945,0.09273183,0.080200501,0.087719298,411.7526067,478.1611795,889.9137862,487.2632439,1,1,0,1,0,1
,rotateMinus5deg,shearPlus20degrees,0.408521303,0.483709273,0.593984962,0.481203008,0.378446115,0.486215539,0.556390977,0.498746867,0.30075188,0.393483709,0.473684211,0.411027569,0.07518797,0.037593985,0.050125313,413.7506282,474.6568374,888.4074656,485.0501778,1,0,1,1,1,1
,flipLeftRight,blurImage,0.298245614,0.483709273,0.561403509,0.473684211,0.248120301,0.471177945,0.50877193,0.471177945,0.177944862,0.403508772,0.431077694,0.388471178,0.042606516,0.032581454,0.032581454,609.1332847,572.6027856,1181.73607,454.7560259,1,0,1,0,1,0
,flipUpDown,blurImage,0.832080201,0.483709273,0.874686717,0.84962406,0.889724311,0.471177945,0.902255639,0.932330827,0.812030075,0.403508772,0.822055138,0.837092732,0.037593985,0.042606516,0.047619048,444.2977586,446.5863137,890.8840723,435.9559776,1,1,0,1,0,1
,rotateMinus5deg,blurImage,0.408521303,0.483709273,0.604010025,0.54887218,0.378446115,0.471177945,0.556390977,0.531328321,0.30075188,0.403508772,0.478696742,0.456140351,0.070175439,0.05764411,0.067669173,439.2014776,446.7773396,885.9788172,451.5164115,1,1,1,1,1,1
,rotatePlus5deg,shearMinus20degrees,0.421052632,0.473684211,0.573934837,0.473684211,0.393483709,0.461152882,0.521303258,0.476190476,0.325814536,0.395989975,0.448621554,0.398496241,0.05764411,0.040100251,0.060150376,441.3294445,512.8711166,954.2005611,516.2371207,1,0,1,1,1,1
,rotatePlus5deg,shearPlus20degrees,0.421052632,0.483709273,0.591478697,0.553884712,0.393483709,0.486215539,0.528822055,0.571428571,0.325814536,0.393483709,0.456140351,0.481203008,0.080200501,0.087719298,0.080200501,449.6527546,519.9839482,969.6367028,532.4324949,1,1,0,1,0,1
,rotatePlus5deg,blurImage,0.421052632,0.483709273,0.593984962,0.536340852,0.393483709,0.471177945,0.561403509,0.546365915,0.325814536,0.403508772,0.478696742,0.453634085,0.065162907,0.055137845,0.067669173,448.2403331,446.062866,894.3031991,449.3224305,1,1,1,1,1,1
,shearMinus20degrees,blurImage,0.473684211,0.483709273,0.606516291,0.573934837,0.461152882,0.471177945,0.593984962,0.596491228,0.395989975,0.403508772,0.511278195,0.516290727,0.090225564,0.070175439,0.090225564,522.4038801,452.3022084,974.7060885,535.3599667,1,1,0,1,0,1
